NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: BUDD INLET, SOUTH OF GULL HARBOR 
State: WA 
Stationid: 9446807
Prediction Type: Harmonic
From: 20210801 00:00 - 20210831 23:00
Units: Metric
Time Zone: GMT
Datum: MTL
Interval Type: Hourly

Date 		Day	Time	Pred	
2021/08/01	Sun	00:00	-0.66	
2021/08/01	Sun	01:00	-0.70	
2021/08/01	Sun	02:00	-0.49	
2021/08/01	Sun	03:00	-0.03	
2021/08/01	Sun	04:00	0.53	
2021/08/01	Sun	05:00	1.02	
2021/08/01	Sun	06:00	1.38	
2021/08/01	Sun	07:00	1.53	
2021/08/01	Sun	08:00	1.40	
2021/08/01	Sun	09:00	0.95	
2021/08/01	Sun	10:00	0.31	
2021/08/01	Sun	11:00	-0.37	
2021/08/01	Sun	12:00	-1.00	
2021/08/01	Sun	13:00	-1.51	
2021/08/01	Sun	14:00	-1.78	
2021/08/01	Sun	15:00	-1.69	
2021/08/01	Sun	16:00	-1.28	
2021/08/01	Sun	17:00	-0.73	
2021/08/01	Sun	18:00	-0.17	
2021/08/01	Sun	19:00	0.34	
2021/08/01	Sun	20:00	0.64	
2021/08/01	Sun	21:00	0.67	
2021/08/01	Sun	22:00	0.47	
2021/08/01	Sun	23:00	0.19	
2021/08/02	Mon	00:00	-0.04	
2021/08/02	Mon	01:00	-0.21	
2021/08/02	Mon	02:00	-0.27	
2021/08/02	Mon	03:00	-0.12	
2021/08/02	Mon	04:00	0.25	
2021/08/02	Mon	05:00	0.68	
2021/08/02	Mon	06:00	1.04	
2021/08/02	Mon	07:00	1.31	
2021/08/02	Mon	08:00	1.39	
2021/08/02	Mon	09:00	1.20	
2021/08/02	Mon	10:00	0.71	
2021/08/02	Mon	11:00	0.05	
2021/08/02	Mon	12:00	-0.63	
2021/08/02	Mon	13:00	-1.25	
2021/08/02	Mon	14:00	-1.77	
2021/08/02	Mon	15:00	-2.02	
2021/08/02	Mon	16:00	-1.89	
2021/08/02	Mon	17:00	-1.44	
2021/08/02	Mon	18:00	-0.84	
2021/08/02	Mon	19:00	-0.20	
2021/08/02	Mon	20:00	0.39	
2021/08/02	Mon	21:00	0.78	
2021/08/02	Mon	22:00	0.88	
2021/08/02	Mon	23:00	0.75	
2021/08/03	Tue	00:00	0.54	
2021/08/03	Tue	01:00	0.33	
2021/08/03	Tue	02:00	0.14	
2021/08/03	Tue	03:00	0.01	
2021/08/03	Tue	04:00	0.09	
2021/08/03	Tue	05:00	0.37	
2021/08/03	Tue	06:00	0.71	
2021/08/03	Tue	07:00	1.01	
2021/08/03	Tue	08:00	1.24	
2021/08/03	Tue	09:00	1.28	
2021/08/03	Tue	10:00	1.03	
2021/08/03	Tue	11:00	0.51	
2021/08/03	Tue	12:00	-0.18	
2021/08/03	Tue	13:00	-0.88	
2021/08/03	Tue	14:00	-1.52	
2021/08/03	Tue	15:00	-2.04	
2021/08/03	Tue	16:00	-2.26	
2021/08/03	Tue	17:00	-2.07	
2021/08/03	Tue	18:00	-1.55	
2021/08/03	Tue	19:00	-0.86	
2021/08/03	Tue	20:00	-0.12	
2021/08/03	Tue	21:00	0.56	
2021/08/03	Tue	22:00	1.00	
2021/08/03	Tue	23:00	1.14	
2021/08/04	Wed	00:00	1.03	
2021/08/04	Wed	01:00	0.83	
